,CR,EV,PE,R^2
286,-0.042,0.121,0.192,0.5781341078077428
287,0.19199999999999998,0.194,0.8939999999999999,0.6343807104470756
288,0.314,-0.079,0.374,0.5716336044808317
289,0.02100000000000002,0.072,0.069,0.46191005894006454
290,0.045,0.11599999999999996,0.044,0.3605531011895835
291,0.0,0.0,0.223,0.19719180101638678
292,0.14100000000000001,-0.216,-0.066,0.4632040458350658
293,0.297,-0.071,0.059000000000000004,0.5055553068016505
294,-0.147,0.017,0.021,0.31175061829895334
295,0.445,-0.221,0.189,0.5891815070015676
296,0.0,0.03900000000000001,0.32099999999999995,0.5910149712755474
297,0.0,0.238,0.159,0.042515784449769445
298,-0.139,0.091,0.035,0.2060296073511867
299,0.06,0.0,0.036,0.30585511655966513
300,0.0,0.035,-0.026,0.26929622105105744
301,-0.06600000000000006,0.23,0.096,0.31981661375464265
302,0.053,-0.0030000000000000027,0.011,0.20712573857748373
303,0.032,-0.031,0.005000000000000001,0.28050535490222217
304,0.054,-0.178,0.082,0.3607305955995236
305,-0.09800000000000003,-0.139,0.07899999999999999,0.30829780818534636
306,-0.042,0.037000000000000005,0.021,0.3378217755142433
307,0.125,0.0,0.354,0.5092928407738292
308,0.976,-0.03,0.04,0.6001456755771731
309,-0.076,-0.0049999999999999975,0.0,0.2652763444413666
310,0.0,-0.01100000000000001,0.068,0.07604364281899534
311,-0.088,-0.034,0.015,0.1514293706865757
312,0.023,-0.002999999999999999,0.062,0.6742832236389862
313,0.0,0.052,0.301,0.34546172544923615
314,0.11199999999999999,0.11599999999999999,0.226,0.21119967947580598
315,-0.066,0.046,0.009999999999999998,0.4733959873791438
316,-0.15500000000000003,-0.038,0.105,0.3103419528280722
317,0.6720000000000002,0.11299999999999999,0.085,0.43001980760952396
318,-0.022,-0.177,0.049,0.7095823614658487
319,0.202,0.12100000000000001,0.006000000000000005,0.5394147065963615
320,-0.059,0.115,0.051000000000000004,0.4738488072374436
321,-0.074,0.057,0.07800000000000001,0.2652132764671642
322,0.085,0.168,0.223,0.6290279241166088
323,0.025,0.006,-0.006,0.33732139754753643
324,-0.11400000000000002,0.137,0.10099999999999998,0.5157640231429949
325,-0.054000000000000006,-0.054,-0.0009999999999999992,0.19646018662786358
326,0.05,0.021,0.038,0.2663970350685325
327,0.112,0.192,0.096,0.39631868381581137
328,-0.11499999999999999,-0.022000000000000006,0.13799999999999998,0.4673384313568031
329,0.212,0.0,0.033999999999999975,0.23231030335524427
330,0.093,0.017,0.277,0.47246496030849194
331,0.009,-0.013,0.042,0.1115309634496493
332,0.11,0.029,0.181,0.41115817910842567
333,-0.7130000000000001,0.035,0.42000000000000004,0.757671819767135
334,0.07800000000000001,0.144,0.127,0.7150271656499707
335,0.298,0.11399999999999999,0.043,0.5393396049108549
336,0.478,-0.253,0.10300000000000001,0.45749485349731056
337,0.006000000000000005,-0.092,0.1,0.1163686636727631
